"","LTQ_293NE12_HCW_Fraction01","LTQ_293NE12_HCW_Fraction02","LTQ_293NE12_HCW_Fraction03","LTQ_293NE12_HCW_Fraction04","LTQ_293NE12_HCW_Fraction05","LTQ_293NE12_HCW_Fraction06","LTQ_293NE12_HCW_Fraction07","LTQ_293NE12_HCW_Fraction08","LTQ_293NE12_HCW_Fraction09","LTQ_293NE12_HCW_Fraction10","LTQ_293NE12_HCW_Fraction11","LTQ_293NE12_HCW_Fraction12","LTQ_293NE12_HCW_Fraction13","LTQ_293NE12_HCW_Fraction14","LTQ_293NE12_HCW_Fraction15","LTQ_293NE12_HCW_Fraction16","LTQ_293NE12_HCW_Fraction17","LTQ_293NE12_HCW_Fraction18","LTQ_293NE12_HCW_Fraction19","LTQ_293NE12_HCW_Fraction20","LTQ_293NE12_HCW_Fraction21","LTQ_293NE12_HCW_Fraction22","LTQ_293NE12_HCW_Fraction23","LTQ_293NE12_HCW_Fraction24","LTQ_293NE12_HCW_Fraction25","LTQ_293NE12_HCW_Fraction26","LTQ_293NE12_HCW_Fraction27","LTQ_293NE12_HCW_Fraction28","LTQ_293NE12_HCW_Fraction29","LTQ_293NE12_HCW_Fraction30","LTQ_293NE12_HCW_Fraction31","LTQ_293NE12_HCW_Fraction32","LTQ_293NE12_HCW_Fraction33","LTQ_293NE12_HCW_Fraction34","LTQ_293NE12_HCW_Fraction35","LTQ_293NE12_HCW_Fraction36","LTQ_293NE12_HCW_Fraction37","LTQ_293NE12_HCW_Fraction38","LTQ_293NE12_HCW_Fraction39","LTQ_293NE12_HCW_Fraction40","LTQ_293NE12_HCW_Fraction41","LTQ_293NE12_HCW_Fraction42","LTQ_293NE12_HCW_Fraction43","LTQ_293NE12_HCW_Fraction44","LTQ_293NE12_HCW_Fraction45","LTQ_293NE12_HCW_Fraction46","LTQ_293NE12_HCW_Fraction47","LTQ_293NE12_HCW_Fraction48","LTQ_293NE12_HCW_Fraction49","LTQ_293NE12_HCW_Fraction50","LTQ_293NE12_HCW_Fraction51","LTQ_293NE12_HCW_Fraction52","LTQ_293NE12_HCW_Fraction53","LTQ_293NE12_HCW_Fraction54","LTQ_293NE12_HCW_Fraction55","LTQ_293NE12_HCW_Fraction56","LTQ_293NE12_HCW_Fraction57","LTQ_293NE12_HCW_Fraction58","LTQ_293NE12_HCW_Fraction59","LTQ_293NE12_HCW_Fraction60","LTQ_293NE12_HCW_Fraction61","LTQ_293NE12_HCW_Fraction62","LTQ_293NE12_HCW_Fraction63","LTQ_293NE12_HCW_Fraction64","LTQ_293NE12_HCW_Fraction65","LTQ_293NE12_HCW_Fraction66","LTQ_293NE12_HCW_Fraction67","LTQ_293NE12_HCW_Fraction68","LTQ_293NE12_HCW_Fraction69","LTQ_293NE12_HCW_Fraction70","LTQ_293NE12_HCW_Fraction71","LTQ_293NE12_HCW_Fraction72","LTQ_293NE12_HCW_Fraction73","LTQ_293NE12_HCW_Fraction74","LTQ_293NE12_HCW_Fraction75","LTQ_293NE12_HCW_Fraction76","LTQ_293NE12_HCW_Fraction77","LTQ_293NE12_HCW_Fraction78","LTQ_293NE12_HCW_Fraction79","LTQ_293NE12_HCW_Fraction80","LTQ_293NE12_HCW_Fraction81","LTQ_293NE12_HCW_Fraction82","LTQ_293NE12_HCW_Fraction83","LTQ_293NE12_HCW_Fraction84","LTQ_293NE12_HCW_Fraction85","LTQ_293NE12_HCW_Fraction86","LTQ_293NE12_HCW_Fraction87","LTQ_293NE12_HCW_Fraction88","LTQ_293NE12_HCW_Fraction89","LTQ_293NE12_HCW_Fraction90","LTQ_293NE12_HCW_Fraction91","LTQ_293NE12_HCW_Fraction92","LTQ_293NE12_HCW_Fraction93","LTQ_293NE12_HCW_Fraction94","LTQ_293NE12_HCW_Fraction95","LTQ_293NE12_HCW_Fraction96","LTQ_293NE12_HCW_Fraction97","LTQ_293NE12_HCW_Fraction98","LTQ_293NE12_HCW_Fraction99","LTQ_293NE12_HCW_Fraction100","LTQ_293NE12_HCW_Fraction101","LTQ_293NE12_HCW_Fraction102","LTQ_293NE12_HCW_Fraction103","LTQ_293NE12_HCW_Fraction104","LTQ_293NE12_HCW_Fraction105","LTQ_293NE12_HCW_Fraction106","LTQ_293NE12_HCW_Fraction107","LTQ_293NE12_HCW_Fraction108","LTQ_293NE12_HCW_Fraction109","LTQ_293NE12_HCW_Fraction110","LTQ_293NE12_HCW_Fraction111","LTQ_293NE12_HCW_Fraction112","LTQ_293NE12_HCW_Fraction113","LTQ_293NE12_HCW_Fraction114","LTQ_293NE12_HCW_Fraction115","LTQ_293NE12_HCW_Fraction116","LTQ_293NE12_HCW_Fraction117","LTQ_293NE12_HCW_Fraction118","LTQ_293NE12_HCW_Fraction119","LTQ_293NE12_HCW_Fraction120"
"A2RTX5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A6NEC2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,28,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P26232",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q58FF3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q12840",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P13796",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,6,32,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q9H2T7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q32P51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23,40,43,38,17,22,25,11,22,20,18,18,23,17,21,17,15,17,14,10,17,11,21,23,21,24,33,30,16,33,36,46,51,48,22,13,9,6,3,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q2TB90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q96LV5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q2T9F4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q58FF8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,40,0,24,5,7,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q58FF7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,39,4,25,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
