"","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction1","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction2","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction3","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction4","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction5","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction6","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction7","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction8","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction9","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction10"
"A6NEC2",0,0,0,31,0,0,0,0,0,0
"P13796",0,0,0,0,8,0,0,0,0,0
"Q32P51",5,4,0,1,3,0,0,0,1,0
"Q58FF8",0,0,0,5,0,0,0,0,0,0
"Q58FF7",0,0,0,7,0,0,0,0,0,1
"Q6ZMR3",0,0,0,0,0,0,10,7,0,3
"Q8NHW5",0,0,0,2,0,0,0,0,0,0
"P60709",6,11,2,16,19,0,0,5,3,18
"Q00266",0,0,0,0,4,0,0,0,0,0
"O60812",0,8,0,0,0,0,0,0,0,0
"Q9Y536",0,0,0,0,0,8,16,19,15,15
"Q9NQ39",0,0,0,0,0,0,0,0,0,8
"P13928",0,0,0,0,4,0,0,0,0,0
"B2RPK0",0,0,0,0,0,7,6,0,2,7
"A6NHG4",0,0,0,0,24,42,32,15,4,0
"P62987",7,9,5,7,7,15,37,22,21,16
"P04908",347,219,96,63,87,39,21,19,28,16
"P00352",0,8,0,5,0,2,0,0,0,0
"Q969E4",0,0,2,0,0,0,0,0,0,0
"P61981",0,0,0,3,0,0,0,0,0,0
"P63104",0,2,0,0,2,2,0,0,0,0
"P31937",0,0,0,0,5,2,0,0,0,0
"P36639",0,0,14,15,0,0,0,0,0,0
"P17174",0,0,0,2,43,37,0,0,0,0
"P00505",15,10,0,0,0,0,0,0,1,14
"Q9UKV3",0,0,2,0,0,0,0,0,0,0
"P53396",0,2,0,0,0,4,0,0,0,0
"P21399",0,0,0,0,19,7,0,0,0,0
"O43707",0,0,0,12,7,0,0,0,0,0
"P11766",0,0,0,0,0,11,0,0,0,0
"P55263",0,0,0,0,0,12,0,0,0,0
"P05141",0,0,0,2,6,0,0,0,0,0
"Q09666",2,0,21,54,54,54,13,10,6,18
"Q8NCW5",0,0,0,21,11,9,0,0,0,0
"P52895",0,0,0,0,0,0,7,1,0,0
"P42330",0,0,0,0,17,8,17,29,25,12
"O94788",0,0,0,0,2,0,0,0,0,0
"P30837",0,0,0,0,2,0,0,0,0,0
"P49419",0,0,0,0,0,35,2,0,0,0
