"","Orbitrap_HeLaCE_SGF_Fraction1","Orbitrap_HeLaCE_SGF_Fraction2","Orbitrap_HeLaCE_SGF_Fraction3","Orbitrap_HeLaCE_SGF_Fraction4","Orbitrap_HeLaCE_SGF_Fraction5","Orbitrap_HeLaCE_SGF_Fraction6","Orbitrap_HeLaCE_SGF_Fraction7-2","Orbitrap_HeLaCE_SGF_Fraction8","Orbitrap_HeLaCE_SGF_Fraction9","Orbitrap_HeLaCE_SGF_Fraction10","Orbitrap_HeLaCE_SGF_Fraction11","Orbitrap_HeLaCE_SGF_Fraction12","Orbitrap_HeLaCE_SGF_Fraction13","Orbitrap_HeLaCE_SGF_Fraction14"
"Q15155",0,0,0,0,0,0,0,5,11,13,6,2,1,0
"O14983",0,0,7,6,11,28,13,25,19,22,7,0,0,0
"Q659C4",0,0,0,0,0,0,0,0,0,7,10,7,5,0
"Q32P51",0,0,22,89,98,93,60,43,50,17,17,16,15,10
"Q58FF8",0,0,23,5,9,12,12,10,10,14,15,10,12,8
"Q58FF7",0,9,22,21,15,25,17,22,24,22,15,0,0,15
"Q8NHW5",0,0,0,0,0,0,15,53,33,31,30,45,34,20
"Q14568",0,0,0,0,0,0,3,0,0,0,0,0,0,0
"Q04912",0,0,0,2,0,0,0,0,0,0,0,0,0,0
"P60709",0,5,70,62,73,76,72,76,92,73,48,55,46,79
"Q96L14",0,0,0,0,0,0,0,0,3,0,0,0,0,0
"A8MYJ9",0,0,0,7,6,6,0,0,0,3,0,0,0,0
"O60812",0,0,0,5,9,12,10,12,19,33,43,35,30,17
"Q9UK32",0,3,0,0,0,0,0,0,0,0,0,0,0,0
"A6NK07",0,0,0,8,41,51,22,14,4,15,18,20,13,8
"Q9NQ39",0,0,0,0,0,0,0,0,0,10,18,19,26,28
"P42025",0,0,77,14,11,4,0,0,0,0,0,0,0,0
"Q96L21",0,0,0,0,0,0,4,12,9,10,8,11,8,5
"Q9P2W9",0,0,0,0,3,0,0,0,0,0,0,0,0,0
"P47985",0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Q9Y4E1",0,10,0,0,0,0,0,0,0,0,0,0,0,0
"P08708",0,0,0,0,27,4,8,0,6,20,4,22,7,14
"P33778",0,2,9,0,10,0,13,0,4,6,0,0,0,0
"Q8TAA3",0,0,55,54,7,0,4,0,7,5,1,0,0,0
"P62987",0,0,14,12,17,14,17,15,16,19,23,18,21,18
"P04908",0,7,8,2,5,6,19,9,15,0,0,0,0,0
"P83916",0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Q9Y4J8",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"P19105",0,37,23,14,13,0,6,0,9,0,0,0,0,0
"P31946",0,21,7,9,14,15,8,7,0,9,2,0,0,0
"P62258",0,0,9,4,0,0,0,0,0,0,0,0,0,0
"Q04917",0,4,0,0,0,0,0,0,0,0,0,0,0,0
"P31947",0,4,0,0,0,0,0,0,0,0,0,0,0,0
"P27348",0,0,0,8,0,0,4,0,0,0,0,0,0,0
"P63104",0,3,7,10,17,16,10,10,11,7,6,0,0,0
"P30153",0,0,7,0,0,3,11,0,0,0,0,0,0,0
"P21589",0,0,0,0,0,0,0,5,7,0,0,0,0,0
"Q8IZ83",0,0,26,16,47,10,3,0,0,0,0,0,0,0
"Q15758",0,12,13,17,19,17,17,11,9,0,0,0,0,0
"P00505",0,4,0,12,6,12,15,6,15,0,0,0,0,0
"P28288",0,0,0,0,0,0,0,2,10,8,0,0,0,0
"P61221",0,0,0,0,0,0,0,6,0,0,0,0,0,0
"Q9NUJ1",0,0,0,9,3,7,4,4,4,1,0,0,0,0
"P53396",0,0,134,23,5,0,7,0,1,14,5,0,0,0
"O14734",0,0,0,5,7,7,4,0,0,0,0,0,0,0
"P13798",0,6,4,0,0,0,0,0,0,0,0,0,0,0
"O95573",0,0,9,0,10,6,10,8,0,0,0,0,0,0
"O43707",0,0,0,2,0,0,0,0,0,0,0,0,0,0
"P61163",0,0,69,24,20,15,17,7,9,0,0,0,0,0
"Q13443",0,17,0,0,0,0,0,0,0,0,0,0,0,0
"Q96D53",0,0,0,12,0,0,0,0,0,0,0,0,0,0
"P11766",0,0,0,0,0,0,0,0,3,0,0,0,0,0
"Q9BRR6",0,0,0,0,0,0,3,0,0,0,0,0,0,0
"P12235",0,0,0,0,0,2,6,3,17,0,0,0,0,0
"P05141",0,0,3,0,4,3,0,0,5,6,6,4,5,3
"P12236",0,0,0,2,0,11,5,18,12,4,3,6,1,0
"O00468",0,0,0,0,0,4,0,0,0,0,0,0,0,0
"Q09666",0,79,71,206,92,137,48,49,51,80,98,42,45,9
"O95433",0,0,0,0,0,0,0,2,0,0,0,0,0,0
"O95831",0,0,11,0,0,0,0,0,0,4,0,0,0,0
"O43823",0,8,0,0,0,0,0,0,0,0,0,0,0,0
"P30837",0,0,8,0,0,0,15,5,6,0,0,0,0,0
"P49419",0,0,0,2,0,0,0,0,0,0,0,0,0,0
"P09972",0,0,14,17,8,11,9,7,9,7,5,0,0,0
"P28838",0,0,0,0,5,6,0,6,0,0,0,0,0,0
"Q92688",0,0,0,0,0,4,0,0,0,5,2,0,0,0
"Q9BTT0",0,1,0,2,0,0,0,0,0,0,0,0,0,0
"O14744",0,0,1,16,12,3,0,0,0,0,0,0,0,0
"Q4KMQ2",0,0,0,0,0,4,0,4,0,0,0,0,0,0
"P16066",0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Q53LP3",0,0,0,3,5,4,2,0,0,0,0,0,0,0
"P04083",0,8,3,0,17,21,17,9,20,10,3,1,0,0
"P12429",0,0,0,0,6,3,6,3,4,4,0,0,0,0
"P08758",0,0,0,0,6,1,15,5,5,0,0,0,0,0
"P08133",0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Q10567",0,0,0,0,0,3,0,0,6,4,7,1,0,0
"Q9BXS5",0,0,0,0,0,0,3,0,0,0,0,0,0,0
"P61966",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"O95782",0,0,2,3,5,3,13,3,0,0,0,0,0,0
"Q96CW1",0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Q9Y2T2",0,0,1,1,0,0,0,0,0,0,0,0,0,0
"P27695",0,0,13,3,8,0,6,0,0,0,0,0,0,0
"Q9HDC9",0,0,3,0,5,8,0,4,0,0,0,0,0,0
"P84077",0,0,0,4,2,4,0,0,0,2,0,0,0,0
"Q9NZ32",0,0,9,0,3,0,0,0,0,0,0,0,0,0
"O43681",0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Q12797",0,0,20,23,32,21,22,16,19,19,22,9,2,3
"P05023",0,0,33,41,53,52,33,38,35,23,9,0,0,0
"P05026",0,0,0,2,0,0,0,0,0,0,0,0,0,0
"P16615",0,0,1,9,18,36,19,35,28,27,6,4,0,0
"P20020",0,0,7,0,9,0,7,4,0,0,1,0,0,0
"P23634",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"P24539",0,0,0,13,18,15,0,23,9,6,0,0,0,0
"Q9NVI7",0,0,0,0,8,8,0,0,4,2,0,0,0,0
"Q7Z3C6",0,0,0,0,1,8,1,0,0,0,0,0,0,0
"Q6DD88",0,0,6,4,10,14,3,11,6,2,0,0,0,0
"O75947",0,17,45,52,93,92,72,29,14,10,0,4,0,0
"O75964",0,0,0,2,6,17,3,8,5,1,0,0,0,0
"P25705",0,20,166,134,297,240,178,164,107,65,39,25,17,23
"P06576",3,11,191,296,383,455,437,336,205,115,51,23,18,17
"P30049",0,0,0,1,4,3,0,0,0,0,0,0,0,0
"P36542",0,0,12,5,3,9,6,0,0,0,0,0,0,0
"P56134",0,0,0,7,14,22,36,17,16,0,0,0,0,0
"P48047",0,0,16,33,46,58,96,34,12,8,0,0,0,0
"Q99700",0,0,0,0,0,0,0,0,0,0,9,6,5,0
"Q9Y679",0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Q9NQS1",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"P04920",0,4,3,10,10,11,2,0,0,0,0,0,0,0
"P15291",0,0,0,0,1,0,1,0,0,0,0,0,0,0
"Q99933",0,0,3,1,0,0,0,0,0,0,0,0,0,0
"O95816",0,0,6,16,17,10,2,5,2,6,5,5,3,0
"O95817",0,18,6,11,3,4,0,0,0,0,0,0,0,0
"P35613",0,0,15,18,29,30,31,21,20,4,7,4,4,0
"P80723",8,15,8,22,27,26,14,11,19,10,6,6,6,3
"Q9P287",0,0,0,0,2,0,4,0,0,0,0,0,0,0
"P08236",0,0,0,5,0,0,0,0,0,0,0,0,0,0
"Q9UHR4",0,0,0,0,0,0,0,5,1,0,0,0,0,0
"Q9Y6D5",0,0,1,2,0,0,0,0,0,0,0,0,0,0
"Q96K17",0,2,0,2,0,0,0,0,0,0,0,0,0,0
"P20290",0,2,23,25,26,29,7,10,12,7,0,0,0,0
"O43684",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Q13895",0,0,0,0,0,8,0,0,0,0,0,0,0,0
"Q9Y6E2",0,0,0,0,0,0,0,0,2,0,0,0,0,0
"Q99622",0,4,0,0,0,0,2,0,0,0,0,0,0,0
"Q07021",0,63,15,33,43,37,20,19,25,7,11,3,5,0
"Q6UB35",0,0,0,0,0,0,4,18,13,14,21,26,18,0
"Q7Z422",0,2,0,0,0,0,0,0,0,0,0,0,0,0
"P27797",0,0,9,43,50,57,33,39,36,25,24,0,0,0
"O43852",0,0,2,7,11,8,0,0,0,0,0,0,0,0
"Q86VP6",0,0,0,11,0,0,0,0,0,0,0,0,0,0
"Q14444",0,0,12,16,13,27,11,19,25,35,58,67,68,37
"P04040",0,0,7,11,3,4,0,0,4,4,0,0,0,0
"P07339",0,0,4,6,10,6,22,8,12,6,0,0,0,0
"Q03135",0,0,0,0,0,0,0,0,10,9,0,0,0,0
"P52907",0,4,9,5,4,0,0,0,0,0,0,0,0,0
"O75976",0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Q96CT7",0,0,0,0,0,0,0,27,12,11,8,8,5,5
"Q96A33",0,0,0,0,0,3,0,12,17,16,0,0,0,0
"Q4VC31",0,0,0,2,0,1,0,0,0,0,0,0,0,0
"Q9H6F5",0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Q96F63",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"P20248",0,4,0,0,0,0,0,0,0,0,0,0,0,0
"P14635",0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Q8NC60",0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Q6YHK3",0,0,0,0,0,0,2,0,0,0,0,0,0,0
"P16070",0,0,12,11,12,14,19,11,13,13,12,6,7,0
"P48960",0,0,3,0,2,12,6,2,0,0,0,0,0,0
"Q16543",0,30,5,2,2,7,0,0,0,2,1,0,0,0
"Q99459",0,0,0,0,0,0,0,0,0,0,6,8,6,0
"Q9UKY7",0,13,0,0,0,0,0,0,0,0,0,0,0,0
"Q5VT06",0,0,0,0,0,3,0,0,0,0,0,0,0,0
"Q9BRJ6",0,0,0,0,0,0,5,13,6,9,10,12,12,0
"P61604",0,26,12,14,11,18,13,15,18,9,7,0,0,0
"P10809",16,165,556,169,201,220,121,165,149,125,66,52,30,14
"Q9UNE7",0,0,0,2,2,2,0,0,0,0,0,0,0,0
"Q9NZZ3",0,2,0,0,0,1,0,0,0,0,0,0,0,0
"Q99653",0,0,0,5,2,0,0,0,0,0,0,0,0,0
"A8MQ03",0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Q14011",0,0,0,0,2,5,0,0,3,2,0,0,0,0
"O75390",0,0,0,7,0,4,0,4,0,0,0,3,0,0
"Q07065",0,0,1,0,0,2,10,6,14,33,36,22,25,0
"P09496",0,23,0,0,0,0,0,0,0,0,0,0,0,0
"P09497",0,23,0,0,0,0,0,0,0,0,0,0,0,0
"Q00610",0,0,29,54,147,211,208,258,312,273,210,56,31,30
"O00299",0,0,4,0,0,0,0,0,4,0,0,0,0,0
"P30622",0,0,0,0,15,0,0,0,0,0,0,0,0,0
"Q16740",0,0,0,0,0,0,0,0,2,0,0,0,0,0
"Q9Y224",0,0,3,0,0,4,5,6,13,6,10,9,7,0
"Q15021",0,17,0,0,0,0,0,0,0,0,0,0,0,0
"Q9BPX3",0,11,2,0,0,0,0,0,0,0,0,0,0,0
"Q9NZN8",0,0,0,9,0,0,0,0,0,0,0,0,0,0
"Q9Y2B0",0,8,4,20,13,13,6,0,3,0,0,0,0,0
"Q9BT09",0,6,4,8,4,4,0,0,0,0,0,0,0,0
"P23528",0,9,6,15,17,20,6,11,12,16,7,9,10,0
"P53618",0,0,20,2,6,4,2,0,0,0,0,0,0,0
