"","Orbitrap_HeLaNE_IEF_pH3_to_10_Fraction1","Orbitrap_HeLaNE_IEF_pH3_to_10_Fraction2","Orbitrap_HeLaNE_IEF_pH3_to_10_Fraction3","Orbitrap_HeLaNE_IEF_pH3_to_10_Fraction4","Orbitrap_HeLaNE_IEF_pH3_to_10_Fraction5","Orbitrap_HeLaNE_IEF_pH3_to_10_Fraction6","Orbitrap_HeLaNE_IEF_pH3_to_10_Fraction7","Orbitrap_HeLaNE_IEF_pH3_to_10_Fraction8","Orbitrap_HeLaNE_IEF_pH3_to_10_Fraction9","Orbitrap_HeLaNE_IEF_pH3_to_10_Fraction10"
"P17661",0,2,0,7,2,0,0,0,0,0
"P41219",0,0,0,8,0,0,0,0,0,0
"Q32P51",16,9,0,21,10,2,3,20,23,42
"Q58FF8",0,4,0,8,0,0,0,0,0,0
"Q58FF7",2,3,0,11,0,0,0,0,0,0
"Q8NHW5",6,0,0,9,0,0,0,0,0,0
"P60709",29,31,33,29,18,7,9,9,0,21
"O60812",11,0,0,11,0,0,0,0,0,9
"Q86TX2",0,0,0,0,0,0,20,29,2,0
"P62491",0,3,0,0,0,0,0,0,0,0
"A6NK07",2,0,0,0,0,0,0,0,0,0
"Q9NQ39",0,0,0,0,0,0,0,0,0,13
"A6NL28",0,1,0,2,0,0,0,0,0,0
"Q01082",0,0,0,4,0,0,0,0,0,0
"P47985",0,0,0,0,1,9,4,0,0,0
"A6NHG4",0,0,0,0,0,0,4,4,0,0
"P33778",14,0,0,0,0,0,0,0,0,0
"P62807",0,0,0,0,0,0,0,4,0,0
"P15336",0,0,0,0,2,0,0,0,0,0
"P62987",6,3,6,3,4,5,9,27,17,10
"P04908",285,5,26,7,0,3,4,8,8,5
"P20671",11,0,0,0,0,0,0,0,0,0
"Q71UI9",10,0,0,0,0,0,0,0,0,0
"P61981",0,2,0,2,0,0,0,0,0,0
"P63104",0,3,0,7,0,0,0,0,0,0
"P31937",0,0,0,0,0,43,27,2,0,0
"Q15758",0,2,0,2,0,0,0,0,0,2
"Q9NY61",1,0,0,0,0,0,0,0,0,0
"P00505",0,0,0,0,0,0,0,0,17,84
"Q9NUJ1",0,0,0,0,0,0,10,0,0,0
"Q9UKV3",12,1,0,2,0,0,2,0,0,0
"Q9NPJ3",0,0,0,0,0,0,0,0,0,4
"Q15067",0,0,0,0,0,2,2,0,0,0
"O95573",2,0,0,5,0,0,0,0,0,0
"O43707",0,22,0,71,13,0,0,0,0,12
"P61163",2,0,0,0,0,0,0,0,0,0
"O14672",0,0,0,0,0,0,0,2,2,0
"O00116",0,0,0,0,0,0,0,0,0,1
"Q9H2P0",2,0,0,0,0,0,0,0,0,0
"P12235",0,2,0,4,0,0,0,0,0,4
"P05141",8,9,0,15,2,6,6,7,9,14
"P12236",4,4,0,6,3,0,3,3,4,4
"P52594",0,0,0,0,0,0,2,0,0,0
"Q09666",50,0,0,82,238,734,643,342,161,248
"Q8IVF2",0,0,0,16,46,103,32,6,0,1
"Q8NCW5",0,0,0,0,5,2,0,0,0,0
"O95831",0,0,0,0,0,0,0,30,0,0
"P42330",0,0,0,0,0,0,0,0,4,1
"P30837",0,4,0,0,0,6,2,0,0,7
"P49419",0,0,0,0,0,0,34,39,0,0
"P09972",0,0,0,0,0,0,0,0,3,11
"P30533",0,0,0,0,0,0,0,16,2,1
"P50995",0,0,0,0,0,0,0,5,4,0
"P04083",0,0,0,0,0,0,31,37,0,0
"P12429",0,0,0,0,0,2,10,0,0,0
"P08758",0,0,0,2,0,0,0,0,0,0
"P27695",8,0,0,0,0,0,0,1,0,0
"Q9HDC9",0,0,0,0,2,10,15,0,0,0
"Q9BUR5",0,0,0,0,0,0,0,0,19,13
"Q6UXV4",0,0,0,0,0,4,0,0,0,0
"Q92747",0,0,0,0,0,0,0,2,0,0
"O15143",0,0,0,0,0,0,0,7,0,0
"O14497",0,0,0,0,0,4,4,2,0,0
"P61158",2,0,0,0,0,0,0,19,4,0
"Q9BPX5",0,0,0,0,0,0,0,2,0,0
"P59998",0,0,0,0,0,0,0,17,0,8
"O15511",0,0,0,0,0,0,0,4,0,0
"Q12797",3,0,0,7,0,0,0,0,0,2
"P05023",0,5,0,11,2,0,0,0,0,7
"P54709",0,0,0,0,0,0,0,6,5,8
"P16615",0,2,0,4,0,0,0,0,0,0
"Q9NVI7",9,0,0,0,0,0,0,0,0,0
"O75947",0,6,0,7,10,12,3,0,0,3
"O75964",0,8,0,6,0,0,0,0,0,5
"P25705",0,34,2,59,43,18,13,14,25,63
"P06576",0,29,1,44,39,11,12,5,0,42
"P30049",0,4,0,4,4,4,4,2,0,2
"P36542",0,0,0,4,0,0,0,0,0,0
"P48047",1,10,0,0,13,1,0,0,0,10
"P61769",0,0,0,0,0,0,4,7,0,0
"P04920",0,0,0,0,0,2,0,0,0,0
"P15291",0,1,0,0,0,0,0,0,0,0
"O75531",6,0,2,0,0,0,0,0,0,0
"P35613",12,14,23,33,39,21,5,2,4,5
"P80723",4,28,37,154,38,12,5,3,0,14
"Q9UIG0",3,0,0,0,0,0,0,0,0,0
"Q9NYF8",3,0,0,0,2,0,0,0,0,0
"Q8NFC6",0,0,0,0,0,2,0,0,0,0
"Q14137",2,0,0,0,0,0,0,0,0,0
"Q10589",6,0,0,0,0,0,0,0,0,0
"O43684",4,0,0,0,0,0,0,0,0,0
"P41223",2,0,0,0,0,0,0,0,0,0
"Q99622",0,0,0,0,4,0,0,0,0,0
"Q07021",0,6,0,11,4,3,18,18,0,7
"P19022",0,0,0,2,0,0,0,0,0,0
"P27797",0,25,0,40,0,0,0,0,0,0
"O43852",0,0,0,3,0,0,0,0,0,0
"P04040",0,0,0,0,0,0,6,21,0,0
"P07858",0,0,0,0,0,7,2,2,0,0
"P53634",0,0,0,0,4,13,2,0,0,0
"P07339",0,0,0,0,0,10,14,9,0,3
"Q9UBR2",0,0,0,11,14,6,0,0,0,3
"P52907",0,0,0,0,0,0,5,8,10,0
"P16152",0,0,0,0,0,0,0,0,2,0
"Q13185",17,0,0,0,3,2,2,0,0,4
"P45973",7,0,0,2,3,0,0,0,0,0
"Q9H6E4",0,0,0,0,0,0,0,0,0,8
"Q8IX12",0,0,0,0,0,0,0,0,0,4
"Q96A33",0,2,0,0,0,0,0,0,0,0
"Q96ER9",0,0,0,0,0,0,1,0,0,2
"Q4VC31",0,0,0,0,0,0,0,2,8,3
"Q9H6F5",2,0,0,0,0,0,0,0,0,0
"Q13740",0,0,0,4,7,0,0,0,0,0
"Q5ZPR3",11,2,3,0,0,0,0,0,0,0
"P16070",1,0,0,13,1,0,0,0,0,0
"P13987",18,46,78,35,46,18,3,2,0,6
"P08962",0,0,0,0,0,0,0,0,2,5
"P21926",0,0,0,0,0,0,6,12,8,0
"P48960",0,0,0,0,4,5,7,0,0,0
"P60953",0,0,0,0,0,0,0,2,0,1
"Q99459",13,0,0,0,0,0,0,0,0,0
"Q9UKY7",0,0,0,0,0,0,0,0,0,3
"P61604",0,6,0,1,0,0,4,8,67,547
"P10809",4,74,0,93,272,72,38,18,14,53
"Q9NX63",2,0,0,0,0,0,0,0,0,4
"Q9NZ45",0,0,0,0,0,0,0,1,0,2
"O75390",0,0,0,0,0,12,18,0,0,0
"Q07065",0,0,0,11,2,0,0,0,0,2
"Q00610",0,13,0,19,0,0,0,0,0,2
"Q96KA5",2,0,0,0,0,0,0,0,0,0
"Q6PJG2",0,0,0,0,0,0,0,0,0,2
"Q9Y224",2,0,0,0,0,2,9,0,0,0
"Q99439",0,0,0,0,0,0,0,7,0,2
"Q9Y2B0",0,0,0,0,5,0,0,0,0,0
"Q9BT09",0,0,0,0,0,3,13,0,0,0
"P02452",0,0,0,0,1,0,0,0,0,0
"P23528",0,1,0,0,0,0,11,16,33,38
"Q9Y281",0,0,0,0,0,0,0,0,0,3
"P13073",0,0,0,0,0,0,0,0,4,12
"P20674",0,0,0,2,0,5,4,2,0,0
"P10606",0,0,0,0,0,0,24,41,0,0
"O43809",0,0,0,0,0,0,0,8,5,6
"P50416",0,2,0,0,0,0,0,0,0,0
"Q8N2U0",0,0,0,2,0,0,0,0,0,0
"P52943",3,0,0,0,0,0,0,0,3,27
"Q969H8",0,0,0,0,0,2,18,7,0,0
"P21291",15,3,0,4,1,0,0,0,16,51
"Q16527",0,0,0,0,0,0,0,0,0,2
"Q8WWI5",0,0,0,0,0,0,0,0,0,2
"P78310",0,0,0,0,0,0,10,25,5,0
"P08574",0,8,0,8,0,0,0,0,0,0
"Q9HB71",0,0,0,0,0,0,0,0,4,6
"P99999",0,0,0,0,0,0,0,0,0,23
"P98082",0,0,0,1,5,4,2,0,0,0
"P61803",4,13,0,0,0,0,0,0,0,0
"Q96EP5",0,0,0,0,0,0,0,0,10,19
"P16989",0,0,0,6,2,5,4,1,6,8
"Q9Y6G9",0,0,0,0,0,0,0,0,0,4
"Q16531",2,0,0,0,0,0,0,0,0,0
"Q9NVP1",16,0,0,0,0,0,0,0,0,0
"Q9NR30",45,0,0,0,0,0,0,0,0,0
"Q96GQ7",3,0,0,0,0,0,0,0,0,0
"O00571",5,0,0,6,0,0,0,0,0,0
"Q9H0S4",5,0,0,0,0,0,0,0,0,0
"P17844",21,0,0,0,0,0,0,0,0,0
"Q9BQ39",3,0,0,0,0,0,0,0,0,0
"P60981",0,0,0,0,0,0,0,0,9,6
"P51659",2,0,0,0,0,0,0,16,3,13
"P31040",2,3,0,3,0,18,15,0,0,4
"O43143",6,0,0,0,0,0,0,0,0,0
"Q08211",42,0,0,0,0,0,0,0,0,0
"Q9BTC0",1,0,0,0,0,0,0,0,0,0
"Q9UBS4",0,0,0,0,0,0,4,0,0,0
"Q9NVM6",0,0,0,0,0,0,0,0,0,1
"P09622",0,0,0,0,0,0,25,61,36,8
"P31689",5,0,0,2,0,0,0,0,0,0
"Q9H3Z4",0,0,0,0,0,3,0,0,0,0
"O75937",0,0,0,0,0,0,0,0,0,12
"O00115",0,0,0,0,0,0,11,0,0,0
"Q9UHL4",0,0,0,4,30,18,2,0,0,0
"Q16643",0,0,0,3,0,0,0,0,0,0
"Q14126",0,0,0,0,0,1,0,0,0,0
"P55265",2,0,0,0,0,0,0,0,0,0
"P42892",0,2,0,7,5,7,0,0,0,0
"Q13011",0,0,0,0,0,7,39,4,0,3
"P40939",0,0,0,5,0,0,5,18,0,3
"P55084",0,0,0,4,0,0,0,0,0,0
"P30084",0,2,0,0,6,26,36,12,4,11
"P42126",0,0,0,0,0,12,12,4,0,3
"O75521",0,0,0,0,0,0,0,0,0,2
"O60869",0,0,0,0,0,0,0,0,1,9
"P68104",22,8,0,14,5,4,6,7,0,32
"P24534",0,3,0,2,3,4,4,0,0,0
"P13639",5,4,0,6,0,0,24,58,4,6
"P00533",0,0,0,2,0,0,0,0,0,0
"P17813",4,0,4,4,0,0,0,0,0,0
"Q9GZT9",0,0,0,0,0,0,0,0,1,0
"Q14152",0,0,0,1,0,0,0,0,0,0
"P50402",3,0,0,0,0,0,0,0,0,0
"P06733",0,4,0,2,0,0,14,53,44,61
"P13929",0,0,0,0,0,0,0,3,2,4
"P14625",0,32,0,40,6,0,0,0,0,9
"P58107",16,0,0,0,0,0,0,0,0,0
"Q96HE7",0,0,0,0,0,21,0,0,0,0
"P30040",0,0,0,0,0,34,51,6,0,14
"P30042",0,0,0,0,0,18,8,6,0,0
"P13804",0,0,0,0,0,49,70,33,12,11
"P38117",0,0,0,0,0,59,69,54,58,18
"Q13868",3,0,0,0,0,0,0,0,0,0
"P15311",0,0,0,0,0,18,53,9,0,7
"Q9NZB2",0,0,0,0,6,2,0,0,0,0
"Q96C01",0,0,0,0,0,0,0,0,2,0
"Q96A26",0,0,0,0,0,0,0,3,2,0
"Q8NCA5",0,0,0,0,0,0,0,0,0,2
"Q96CS3",0,0,0,2,0,0,0,0,0,0
"Q96GK7",0,0,0,0,0,0,0,3,0,0
"Q6P587",0,0,0,0,0,0,7,10,6,2
"Q92520",0,0,0,0,0,2,2,1,0,0
"P49327",2,0,0,0,0,0,0,0,0,0
"Q5T0N5",0,0,0,0,0,2,0,0,0,0
"P22087",5,0,0,0,0,0,0,0,0,0
"P39748",8,0,0,4,0,0,0,0,1,4
"Q6UN15",1,0,0,0,0,0,0,0,0,0
"Q9Y3D6",0,0,0,0,0,0,0,0,0,16
"Q96AY3",0,0,0,0,0,9,0,0,0,0
"P26885",0,0,0,0,0,0,0,2,9,20
"Q00688",0,0,0,0,0,0,0,0,0,27
"Q9Y680",0,0,0,0,7,0,0,0,0,0
"P21333",116,113,1,172,85,12,14,10,12,63
"O75369",9,22,0,50,19,0,0,0,0,15
"P15328",0,0,0,0,0,0,28,22,0,5
"Q96I24",0,0,0,0,0,0,0,0,5,26
"P07954",0,1,0,5,0,0,8,28,5,7
"Q13283",2,3,0,5,0,0,0,0,0,9
"Q9UN86",0,0,0,0,0,0,0,0,0,1
"Q8TAE8",0,0,0,0,0,0,0,0,0,5
"P06744",0,0,0,0,0,0,0,0,0,13
"P34059",0,0,0,0,0,0,0,2,0,0
"Q10471",2,3,0,0,0,0,0,0,0,8
"Q9H4G4",0,0,0,0,0,0,0,0,0,3
"Q9UBI6",0,4,0,0,0,0,0,3,4,11
"Q92820",0,0,0,0,0,0,10,11,0,0
"P04062",0,0,0,0,0,0,3,4,2,2
"Q86SX6",0,0,0,2,11,6,0,0,0,0
"O94925",0,5,0,14,4,0,4,4,0,0
"P14314",0,2,0,10,2,0,0,0,0,0
"P34897",4,3,0,10,0,0,0,2,1,6
"Q49A26",2,0,0,0,0,0,0,0,0,0
"Q96EK6",0,0,0,0,0,0,0,0,6,0
"P04899",0,1,0,0,0,0,0,0,0,0
"P08754",0,0,0,0,0,0,0,0,0,2
"Q9BVP2",2,0,0,0,0,0,0,0,0,0
"P15586",0,0,0,0,5,9,11,7,0,0
"O00461",0,0,0,3,2,0,0,0,0,0
"P38646",0,23,0,41,40,51,35,31,33,58
"P00390",0,0,0,0,0,0,0,17,0,0
"P09211",0,0,0,2,3,0,0,0,0,0
"P78347",9,0,0,0,0,0,0,0,0,8
"Q02539",5,0,0,0,0,0,0,0,0,0
"P16403",6,0,0,0,0,0,0,4,0,0
"O75367",39,0,0,0,0,0,0,0,0,0
"P62805",110,7,61,0,0,0,0,18,9,0
"Q13442",0,0,0,0,4,6,0,0,2,13
"Q99714",0,7,0,8,0,0,16,50,48,27
"P51610",0,0,0,0,0,0,3,4,2,14
"Q9H583",3,0,0,0,0,0,0,0,0,0
"Q9NRV9",0,0,0,0,0,9,2,0,0,0
"P36551",0,0,0,0,0,0,0,9,0,0
"P07686",0,0,0,0,0,0,0,18,0,0
"P09429",4,0,0,1,0,0,12,7,2,3
"P26583",0,0,0,0,0,0,0,0,0,5
"O15347",0,0,0,0,0,0,0,0,0,6
"P35914",0,0,0,0,0,1,0,9,4,0
"P09601",0,0,0,0,0,0,1,2,0,0
"Q9H910",0,0,0,0,0,0,0,0,0,2
"O14979",0,0,0,0,0,0,40,23,7,17
"P55795",0,0,0,0,0,0,0,3,0,0
"P31942",2,3,0,4,0,5,15,15,6,10
"Q9BUJ2",0,0,0,5,3,3,5,0,0,0
"Q1KMD3",0,2,0,0,0,0,0,0,0,1
"Q14103",5,7,0,12,10,17,21,17,19,14
"P52597",3,2,0,4,4,4,1,0,0,1
"P38159",7,0,0,0,0,0,0,0,0,9
"P14866",14,5,0,9,0,0,7,19,2,5
"P52272",16,0,0,7,0,0,0,0,0,6
"O60506",7,0,0,16,0,0,0,0,0,1
"O43390",14,0,0,10,2,0,0,0,0,0
"Q00839",15,10,0,12,5,0,0,1,0,4
"Q5SSJ5",11,0,0,0,0,4,0,0,0,0
"Q96IR7",0,0,0,0,0,0,25,13,0,0
"P08238",4,7,0,7,2,0,0,0,0,0
"Q6YN16",0,1,0,2,0,1,3,3,6,11
"P08107",0,4,0,7,7,2,2,0,0,4
"P11142",7,6,0,13,8,3,0,0,0,0
"P04792",4,0,0,0,7,6,0,0,0,0
"O43464",0,0,0,0,0,0,8,0,0,0
"P07099",0,0,0,0,0,0,14,11,0,0
"Q9H1B7",0,0,0,0,0,0,2,0,0,0
"Q16270",0,0,0,0,0,0,2,3,6,2
"P50213",0,2,0,0,0,0,11,0,0,6
"P51553",0,0,0,0,0,0,0,0,0,2
"P60842",3,3,0,8,2,0,0,0,0,0
"P38919",7,0,0,0,0,0,0,0,0,0
"P23588",0,0,0,0,0,0,0,4,0,4
"P78344",0,0,0,0,0,0,0,0,0,3
"P56537",5,0,0,2,0,0,0,0,0,0
"Q12905",0,2,0,4,0,0,0,0,0,0
