"","Orbitrap_HeLaNE_SGF_Fraction1","Orbitrap_HeLaNE_SGF_Fraction2","Orbitrap_HeLaNE_SGF_Fraction3","Orbitrap_HeLaNE_SGF_Fraction4","Orbitrap_HeLaNE_SGF_Fraction5","Orbitrap_HeLaNE_SGF_Fraction6","Orbitrap_HeLaNE_SGF_Fraction7","Orbitrap_HeLaNE_SGF_Fraction8","Orbitrap_HeLaNE_SGF_Fraction9","Orbitrap_HeLaNE_SGF_Fraction10","Orbitrap_HeLaNE_SGF_Fraction11","Orbitrap_HeLaNE_SGF_Fraction12","Orbitrap_HeLaNE_SGF_Fraction13","Orbitrap_HeLaNE_SGF_Fraction14"
"P41219",0,8,25,18,5,10,8,16,18,24,28,21,11,7
"Q15155",0,0,0,0,0,0,0,0,0,2,7,6,0,0
"O14983",0,2,16,26,21,25,21,0,8,16,15,13,4,2
"Q92887",0,0,0,2,2,2,0,0,0,0,0,0,0,0
"Q32P51",7,15,31,131,137,158,179,170,111,51,33,15,6,12
"Q58FF8",0,0,0,0,0,0,0,0,0,4,4,2,0,0
"Q58FF7",0,0,5,2,0,0,0,0,0,0,0,0,0,0
"Q8NHW5",0,0,0,0,0,0,0,10,15,9,7,6,0,0
"P60709",43,50,184,248,234,200,194,151,106,72,76,40,19,12
"A8MYJ9",1,5,2,3,0,0,0,0,0,0,0,0,0,0
"O60812",4,8,0,11,28,28,41,42,82,94,78,44,29,23
"P15313",0,0,0,0,25,23,9,0,0,0,0,0,0,0
"P62491",0,0,0,0,0,2,3,0,1,0,0,0,0,0
"Q9NQ39",0,0,0,0,0,0,0,0,4,9,11,13,28,16
"P42025",0,4,6,0,0,0,0,0,0,0,0,0,0,0
"O60641",0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Q96L21",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Q01082",0,4,108,42,31,34,60,61,58,77,93,52,0,4
"P47985",0,0,0,7,9,9,7,8,2,2,0,0,0,0
"P08708",0,0,0,0,0,0,0,0,6,2,0,0,0,0
"Q5T9A4",0,0,0,0,0,0,0,0,0,4,5,4,0,0
"P33778",0,0,7,11,13,17,15,16,5,2,0,0,0,0
"Q5SRD1",0,4,16,25,25,35,32,24,23,15,4,0,0,0
"Q8TAA3",0,0,17,16,0,0,0,0,0,0,0,0,0,0
"P62987",0,0,5,10,9,11,11,11,16,17,21,17,9,7
"P04908",0,0,4,8,13,14,15,22,6,0,5,0,0,0
"A8MWD9",0,0,0,0,0,0,0,0,0,3,1,0,0,0
"Q9Y4J8",0,0,0,0,0,0,1,2,0,0,0,0,0,0
"P19105",0,10,0,0,4,10,12,14,0,16,20,5,0,0
"P31946",0,1,4,0,0,0,0,0,0,0,0,0,0,0
"P63104",0,0,0,3,0,0,1,3,0,0,0,0,0,0
"P21589",0,3,7,16,23,21,7,0,0,0,0,0,0,0
"Q15758",0,0,17,19,13,13,16,17,0,0,0,0,0,0
"Q9NP58",0,0,0,0,1,0,0,0,2,0,0,0,0,0
"Q9NUT2",0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Q9NRK6",0,0,0,13,7,9,8,0,0,0,0,0,0,0
"P33897",0,0,0,0,1,0,5,4,5,2,1,0,0,0
"P28288",0,0,0,6,6,14,14,11,2,0,0,0,0,0
"Q9H845",0,4,19,34,20,22,20,10,6,0,0,0,0,0
"Q9UKV3",0,0,0,0,0,0,0,3,0,0,0,0,0,0
"O00767",0,0,0,0,0,0,0,0,0,1,0,2,0,0
"O95573",0,0,5,8,12,7,5,5,0,0,0,0,0,0
"O43707",0,0,0,0,0,0,2,0,0,0,0,0,0,0
"P61163",0,0,12,13,10,0,0,7,0,0,0,0,0,0
"O00116",0,0,0,0,7,9,3,6,0,0,2,0,0,0
"Q9BRR6",0,0,0,0,0,2,0,0,0,0,0,0,0,0
"P12235",5,10,4,50,51,67,74,107,46,17,11,13,0,9
"P05141",4,10,12,56,70,56,47,69,76,51,47,34,13,18
"P12236",0,3,10,17,26,23,19,28,25,15,13,6,5,4
"Q9Y4W6",0,0,0,4,8,12,17,22,20,9,0,0,0,0
"Q53H12",0,0,4,4,6,6,8,0,0,0,0,0,0,0
"Q09666",0,196,393,134,136,211,262,222,258,275,178,68,20,12
"Q8IVF2",0,6,7,5,2,11,7,9,5,9,9,2,0,0
"O95831",0,4,0,7,0,2,6,11,13,2,0,0,0,0
"Q16352",0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Q92667",0,0,4,0,0,0,0,0,0,0,0,0,0,0
"O43823",0,0,12,0,0,0,0,0,0,1,2,0,0,0
"Q6P6C2",0,3,0,0,0,0,0,0,0,0,0,0,0,0
"P50995",0,0,0,0,0,0,5,6,8,1,0,0,0,0
"P04083",0,0,54,41,45,45,44,54,22,6,2,0,0,0
"P12429",0,0,10,22,15,13,17,30,11,3,0,0,0,0
"P08758",0,0,13,38,45,48,72,68,12,0,0,0,0,0
"P08133",0,4,7,14,19,26,30,18,0,0,0,0,0,0
"Q10567",0,0,0,0,0,0,0,0,2,1,9,0,0,0
"O95782",0,0,0,0,0,6,4,10,3,0,0,0,0,0
"Q9HDC9",0,5,4,9,0,5,0,0,0,0,0,0,0,0
"Q9BUR5",0,0,0,0,8,0,5,6,6,6,5,0,0,0
"Q6UXV4",0,0,0,0,0,0,3,11,11,8,3,0,0,0
"Q8N2F6",0,0,0,0,0,4,3,6,0,0,0,0,0,0
"Q9UH62",0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Q12797",0,0,0,8,9,8,6,0,0,0,1,0,0,0
"P05023",0,2,12,38,41,48,43,21,15,8,3,0,0,0
"P54709",0,0,0,0,2,2,0,0,0,0,0,0,0,0
"P16615",0,8,21,37,32,44,31,31,11,9,5,0,0,0
"P20020",0,0,0,0,0,2,0,0,0,0,0,0,0,0
"P24539",0,0,23,31,45,55,61,52,0,0,0,0,0,0
"Q8NBU5",0,0,5,14,14,20,15,12,6,0,0,0,0,0
"Q9NVI7",0,0,0,19,31,54,66,81,57,46,23,13,0,0
"Q6DD88",0,0,2,5,3,3,0,0,0,0,0,0,0,0
"O75947",15,26,91,104,114,136,147,157,68,13,0,0,0,0
"O75964",0,0,1,27,22,37,41,49,67,48,35,18,3,0
"P25705",42,100,274,317,418,426,470,442,270,209,171,106,53,50
"P06576",84,146,384,638,836,809,880,768,574,282,223,139,85,82
"P30049",0,6,10,9,6,3,0,0,0,0,0,0,0,0
"P36542",0,14,19,22,33,24,31,24,40,20,22,7,0,0
"P56134",0,0,0,28,35,37,38,51,24,0,0,0,0,0
"P48047",0,0,20,63,94,129,144,133,94,51,40,20,10,10
"Q9Y679",0,0,0,0,5,5,0,6,0,0,0,0,0,0
"P04920",0,0,0,0,3,1,0,0,0,0,0,0,0,0
"P15291",0,0,9,7,17,13,10,11,0,0,0,0,0,0
"O95816",0,0,3,0,0,0,2,0,8,4,5,0,0,0
"P35613",0,0,16,36,55,49,48,41,27,12,8,0,0,0
"P80723",11,17,59,56,33,36,25,23,14,7,6,4,1,1
"Q9Y276",0,0,0,0,2,2,5,0,0,0,0,0,0,0
"Q9UHR4",0,0,0,0,0,0,1,2,0,0,0,0,0,0
"P20290",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Q07021",0,34,16,9,8,10,9,14,11,8,0,0,0,0
"P27797",0,4,0,3,0,0,0,0,0,0,0,0,0,0
"Q14444",0,0,9,7,4,10,7,7,5,9,0,0,6,0
"P07339",0,0,0,0,0,0,0,8,0,0,0,0,0,0
"Q03135",0,0,0,0,0,0,0,7,5,0,0,0,0,0
"P52907",0,0,16,9,4,5,0,3,9,6,6,0,0,0
"Q96CT7",0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Q96AQ8",0,0,0,0,2,0,1,0,0,0,0,0,0,0
"Q9GZT6",0,0,0,0,0,2,4,0,0,0,0,0,0,0
"Q96A33",0,2,8,10,13,12,15,1,0,0,0,0,0,0
"Q96ER9",0,0,2,6,7,8,8,0,0,0,0,0,0,0
"Q9Y2R0",0,0,0,0,0,0,0,0,0,8,0,0,0,0
"P53701",0,0,0,1,6,4,2,0,0,0,0,0,0,0
"Q8NC60",0,0,0,24,0,0,0,0,0,0,0,0,0,0
"Q8N5G0",0,0,6,0,0,2,0,0,0,0,0,0,0,0
"Q6YHK3",0,0,2,35,38,29,14,5,0,0,0,0,0,0
"P16070",0,0,11,21,34,32,26,22,12,11,4,3,0,0
"P48960",0,0,0,0,0,8,10,3,0,0,0,0,0,0
"P60953",0,0,2,3,0,0,3,1,0,0,0,0,0,0
"Q99459",0,0,0,0,0,0,0,0,0,3,4,2,0,0
"P10809",73,350,337,107,78,65,59,36,26,23,20,12,0,2
"Q9NX63",0,0,0,0,1,2,2,7,19,18,16,10,5,6
"O43633",0,0,0,0,0,1,0,0,4,6,5,0,0,0
"Q9H444",0,0,0,0,0,0,0,0,8,4,1,0,0,0
"A8MQ03",0,0,0,0,8,4,5,0,0,0,0,0,0,0
"Q14011",0,7,4,2,0,0,0,0,0,0,0,0,0,0
"Q9NZ45",0,0,0,7,6,11,11,12,12,8,7,3,0,0
